term,en,jp
wont,wont,ウオントゥ
wonk,wonk,ウオンク
wong,wong,ウォン
wondrous,wondrous,ワンドゥラス
wondering,wondering,ワンダリング
wonderfully,wonderfully,ワンダフリー
wonderful,wonderful,ワンダフル
wonderer,wonderer,ワンダラー
wondered,wondered,ワンダードゥ
wonder,wonder,ワンダー
won,won,ワン
women,women,ウィメン
wombats,wombats,ウォンバッツ
wombat,wombat,ウォンバットゥ
womb,womb,ウーム
womanizing,womanizing,ウーマナイジング
womanizer,womanizer,ウーマナイザー
womanized,womanized,ウーマナイズドゥ
womanize,womanize,ウーマナイズ
womanising,womanising,ウーマナイジング
womanise,womanise,ウーマナイズ
woman,woman,ウーマン
wolves,wolves,ウルブズ
wolverine,wolverine,ウルバリン
wolframite,wolframite,ウルフラマイトゥ
wolfowitz,wolfowitz,ウルフォウイッツ
wolfer,wolfer,ウルファー
wolfe,wolfe,ウルフ
wolf,wolf,ウルフ
wolens,wolens,ウォレンス
woken,woken,ウオウクン
woke,woke,ウオウク
wok,wok,ウォク
wog,wog,ウォグ
woefully,woefully,ウーフリイ
woed,woed,ウードゥ
woe,woe,ウー
wodge,wodge,ウッジ
wobbly,wobbly,ウォブリイ
wobbling,wobbling,ウォブリング
wobble,wobble,ウォブル
wmail,wmail,ダブリュメイル
wmacro,wmacro,ダブリュマクロ
wizened,wizened,ウィゼンドゥ
wizards,wizards,ウィザーズ
wizardry,wizardry,ウィザードゥリイ
wizard,wizard,ウィザードゥ
wives,wives,ワイブズ
witty,witty,ウィティー
witting,witting,ウィティング
witticism,witticism,ウィティシズム
wittering,wittering,ウィタリング
wittered,wittered,ウィタードゥ
witter,witter,ウィター
witted,witted,ウィッティドゥ
wits,wits,ウィッツ
witnessing,witnessing,ウィトゥネシング
witnesses,witnesses,ウィトゥネシズ
witnessed,witnessed,ウィトゥネストゥ
without,without,ウィザウトゥ
withering,withering,ウィザリング
withered,withered,ウィザードゥ
wither,wither,ウィザー
withed,withed,ウィズドゥ
withe,withe,ワイズ
withdrawal,withdrawal,ウィズドゥローアル
withal,withal,ウィゾール
with,with,ウィズ
witchy,witchy,ウィッチイ
witching,witching,ウィッチング
witches,witches,ウィッチズ
witch,witch,ウィッチ
wit,wit,ウィットゥ
wistfully,wistfully,ウィストゥフリー
wisteria,wisteria,ウィステリア
wistaria,wistaria,ウィステリア
wist,wist,ウィストゥ
wispy,wispy,ウィスピー
wisp,wisp,ウィスプ
wising,wising,ワイジング
wishing,wishing,ウィッシング
wishes,wishes,ウィッシズ
wisher,wisher,ウィッシャー
wished,wished,ウィッシュトゥ
wish,wish,ウィッシュ
wisest,wisest,ワイゼストゥ
wiser,wiser,ワイザー
wisenheimer,wisenheimer,ワイゼンハイマー
wise,wise,ワイズ
wisdom,wisdom,ウィズダム
wisconsin,wisconsin,ウィスコンシン
wiring,wiring,ワイアリング
wired,wired,ワイアードゥ
wire,wire,ワイヤー
wiping,wiping,ワイピング
wiper,wiper,ワイパー
wiped,wiped,ワイプトゥ
wipe,wipe,ワイプ
wip,wip,ウィップ
winy,winy,ワイニー
winva,winva,ウィンバ
wintry,wintry,ウィントゥリー
winthrop,winthrop,ウィンスロップ
wintery,wintery,ウィンタリイ
winterm,winterm,ウィンターム
wintering,wintering,ウィンタリング
winter,winter,ウィンター
winston,winston,ウィンストン
winst,winst,ダブリュインストゥ
winslow,winslow,ウィンスロウ
wino,wino,ワイノウ
winnt,winnt,ウィンエヌティー
winnow,winnow,ウィノウ
winnipeg,winnipeg,ウィニペグ
winning,winning,ウィニング
winnie,winnie,ウィニー
winner,winner,ウィナー
winnebago,winnebago,ウィネベイゴウ
winn,winn,ウィン
winkler,winkler,ウィンクラー
winking,winking,ウィンキング
winked,winked,ウィンクトゥ
wink,wink,ウィンク
winger,winger,リンガー
winged,winged,ウィングドゥ
wing,wing,ウィング
winfrey,winfrey,ウィンフリイ
winery,winery,ワイナリー
wineries,wineries,ワイナリイズ
wine,wine,ワイン
windy,windy,ウィンディー
windswept,windswept,ウインドゥスウェプト
windsor,windsor,ウィンザー
windshield,windshield,ウィンドゥシールドゥ
winds,winds,ウィンズ
windowsxp,windowsxp,ウィンドウズエックスピー
windowsprogram,windowsprogram,ウィンドウズプログラム
windowsnt,windowsnt,ウィンドウズエヌティー
windows,windows,ウィンドウズ
window,window,ウィンドウ
winding,winding,ワインディング
winder,winder,ワインダー
winded,winded,ウィンディドゥ
wind,wind,ウィンドゥ
wincing,wincing,ウィンシング
winchester,winchester,ウィンチェスター
winch,winch,ウィンチ
winced,winced,ウィンストゥ
wince,wince,ウィンス
winc,winc,ウィンク
win,win,ウィン
wimpling,wimpling,ウィンプリング
wimpled,wimpled,ウィンプルドゥ
wimple,wimple,ウィンプル
wimp,wimp,ウィンプ
wimn,wimn,ウィン
wimbledon,wimbledon,ウィンブルドン
wily,wily,ワイリー
wilting,wilting,ウィルティング
wilted,wilted,ウィルティドゥ
wilt,wilt,ウィルトゥ
wilson,wilson,ウィルソン
wilms,wilms,ウィルムス
wilmington,wilmington,ウィルミントン
wilma,wilma,ウィルマ
willy,willy,ウィリー
willwerth,willwerth,ウイルワース
willowy,willowy,ウィロウイ
willow,willow,ウィロウ
willis,willis,ウィリス
willing,willing,ウィリング
willie,willie,ウィリー
william,william,ウィリアム
willey,willey,ウィリイ
willem,willem,ウィレム
willed,willed,ウィルドゥ
willard,willard,ウィラード
will,will,ウィル
wilkins,wilkins,ウィルキンス
wilkie,wilkie,ウィルキー
wilkes,wilkes,ウィルクス
wilikins,wilikins,ウィルキンス
wiliest,wiliest,ワイリエストゥ
wilier,wilier,ワイリアー
wilful,wilful,ウィルフル
wilford,wilford,ウィルフォードゥ
wiley,wiley,ウィリー
wile,wile,ワイル
wilds,wilds,ワイルズ
wilding,wilding,ワイルディング
wildest,wildest,ワイルデストゥ
wilderness,wilderness,ウィルダネス
wilderless,wilderless,ウィルダレス
wildering,wildering,ウィルダリング
wilderful,wilderful,ウィルダフル
wildered,wildered,ウィルダードゥ
wilder,wilder,ウィルダー
wilded,wilded,ワイルディドゥ
wilde,wilde,ワイルドゥ
wild,wild,ワイルドゥ
wilcox,wilcox,ウイルコックス
wilbur,wilbur,ウィルバー
wilbrand,wilbrand,ウィルブランドゥ
wilber,wilber,ウィルバー
wigwam,wigwam,ウィグワム
wigwag,wigwag,ウィグワグ
wiggling,wiggling,ウィグリング
wiggled,wiggled,ウィグルドゥ
wiggle,wiggle,ウィグル
wigged,wigged,ウィグドゥ
wig,wig,ウィグ
wiffle,wiffle,ウィッフル
wife,wife,ワイフ
wiesel,wiesel,ウィーゼル
wienie,wienie,ウィーニー
wields,wields,ウィールズ
wielding,wielding,ウィールディング
wielded,wielded,ウィールディドゥ
wield,wield,ウィールドゥ
width,width,ウィドゥス
widower,widower,ウィドアー
widowed,widowed,ウィドウドゥ
widow,widow,ウィドウ
widget,widget,ウィジェトゥ
widest,widest,ワイデストゥ
wides,wides,ワイヅ
wider,wider,ワイダー
widening,widening,ワイドゥニング
widener,widener,ワイドゥナー
widened,widened,ワイドゥンドゥ
widen,widen,ワイドゥン
wide,wide,ワイドゥ
wickets,wickets,ウィキッツ
wicket,wicket,ウィキットゥ
wicker,wicker,ウィカー
wicked,wicked,ウィッケッドゥ
wick,wick,ウィック
wiccan,wiccan,ウィッカン
wicca,wicca,ウィッカ
why,why,ホワイ
whupping,whupping,ワッピング
whupped,whupped,ワップトゥ
whup,whup,ワップ
whumping,whumping,ホワンピング
whose,whose,フーズ
whorl,whorl,ホール
whore,whore,ホア
whopping,whopping,ホッピング
whopper,whopper,ウオッパー
whopped,whopped,ウオップトゥ
whop,whop,ウオップ
whooping,whooping,ウーピング
whooped,whooped,ウープトゥ
whoop,whoop,ウープ
whoomp,whoomp,ウーンプ
whomp,whomp,ホワンプ
whom,whom,フーム
wholly,wholly,ホーリー
wholesaling,wholesaling,ホウルセイリング
wholesaler,wholesaler,ホウルセイラー
whole,whole,ホウル
whoa,whoa,ウオウ
who,who,フー
whizzy,whizzy,ウィジイ
whizzing,whizzing,フイジング
whizzed,whizzed,フイズトゥ
whizz,whizz,フイヅ
whiz,whiz,フイヅ
whittling,whittling,ウィトゥリング
whittle,whittle,ウィトゥル
whittier,whittier,ウイッティアー
whitster,whitster,ウィットゥスター
whitney,whitney,ホイットゥニー
whitlow,whitlow,ホィットゥロウ
whitish,whitish,ホワイティッシュ
whiting,whiting,ワイティング
whithering,whithering,ウィザリング
whithered,whithered,ウィザードゥ
whither,whither,ウィザー
whitey,whitey,ホワイティイ
whitest,whitest,ホワイテストゥ
whites,whites,ホワイツ
whiter,whiter,ホワイター
whitener,whitener,ホワイトゥナー
whiten,whiten,ホワイトゥン
whited,whited,ホワイティドゥ
white,white,ホワイトゥ
whit,whit,ホイットゥ
whistling,whistling,ホイッスリング
whistler,whistler,ホイッスラー
whistled,whistled,ホイッスルドゥ
whistle,whistle,ホイッスル
whist,whist,ホィストゥ
whispering,whispering,ウィスパリング
whisperer,whisperer,ウィスパラー
whispered,whispered,ウィスパードゥ
whisper,whisper,ウィスパー
whisky,whisky,ウィスキー
whiskies,whiskies,ウイスキーズ
whiskey,whiskey,ウィスキー
whisker,whisker,ウィスカー
whisk,whisk,ウィスク
whirred,whirred,ワードゥ
whirr,whirr,ワー
whirling,whirling,ワーリング
whirligig,whirligig,ワーリギグ
whirled,whirled,ワールドゥ
whirl,whirl,ワール
whir,whir,ワー
whippoorwill,whippoorwill,ウィッパーウィル
whipping,whipping,ウィッピング
whipped,whipped,ウィップトゥ
whip,whip,ウィップ
whiny,whiny,ウイニー
whinny,whinny,ウィニー
whining,whining,ワイニング
whiner,whiner,ワイナー
whined,whined,ワインドゥ
whine,whine,ワイン
whimsy,whimsy,ホィムジー
whimsical,whimsical,ウィムジカル
whimper,whimper,ホィンパー
whim,whim,ホィム
whilst,whilst,ワイルストゥ
whilom,whilom,ホワイラム
while,while,ホワイル
whil,whil,フォワイル
whiffling,whiffling,ウィフリング
whiffled,whiffled,ウィフルドゥ
whiff,whiff,フィフ
whidbey,whidbey,ホイッドゥビー
whickering,whickering,ウィカーリング
which,which,フィッチ
whey,whey,フェイ
whew,whew,ヒュー
whether,whether,ホエザー
whet,whet,ホエットゥ
wherry,wherry,フェリー
wherin,wherin,ウェアイン
wherever,wherever,ウェアエヴァー
whereto,whereto,フェアトゥー
whereon,whereon,ウェアオン
whereof,whereof,ウェアオブ
whereis,whereis,ウェアリズ
wherein,wherein,ウェアリン
whereby,whereby,ウェアバイ
whereat,whereat,ウェアアットゥ
whereas,whereas,ウェァラズ
whereabouts,whereabouts,ウェアアバウツ
where,where,ホエア
whenever,whenever,ウェネヴァー
whence,whence,フェンス
when,when,ホェン
whelp,whelp,フェルプ
whelming,whelming,ウェルミング
whelmer,whelmer,ウェルマー
whelmed,whelmed,ウェルムドゥ
whelm,whelm,ウェルム
wheezy,wheezy,ウイージイ
wheezing,wheezing,ウイージング
wheeze,wheeze,ウイーズ
wheeling,wheeling,ホイーリング
wheeler,wheeler,ホイーラー
wheeled,wheeled,ホイールドゥ
wheel,wheel,ホイール
wheedling,wheedling,ウィードゥリング
wheedle,wheedle,フイードゥル
wheaty,wheaty,ウィーティイ
wheats,wheats,フィーツ
wheat,wheat,フィートゥ
whatsoever,whatsoever,ホワットゥソウエバー
whatsisname,whatsisname,ワットゥイズネイム
whatis,whatis,ワットゥイズ
whatever,whatever,ホァットゥエヴァー
what,what,ホワットゥ
wharve,wharve,ウォーブ
wharton,wharton,ウォートン
wharfage,wharfage,ウォーフィッジ
wharf,wharf,ウォーフ
whang,whang,ワング
whammy,whammy,ワミイ
wham,wham,ホアム
whaling,whaling,ホエイリング
whaler,whaler,ホエイラー
whale,whale,ホエイル
whacking,whacking,ワッキング
whacker,whacker,ワッカー
whacked,whacked,ワックトゥ
whack,whack,ワック
wgrep,wgrep,ダブリュグレップ
weymouth,weymouth,ウェイマス
wexpo,wexpo,ダブリュエキスポ
wexford,wexford,ウェックスフォードゥ
wewe,wewe,ワー
wetty,wetty,ウェッティイ
wettstein,wettstein,ウェットゥスタイン
wetting,wetting,ウェティング
wetties,wetties,ウェティーズ
wettest,wettest,ウェッテストゥ
wetter,wetter,ウェター
wetted,wetted,ウェッティドゥ
wettable,wettable,ウェッタブル
wets,wets,ウェッツ
wet,wet,ウェットゥ
weston,weston,ウェストン
westminster,westminster,ウェストゥミンスター
westing,westing,ウェスティング
westheimer,westheimer,ウェストゥハイマー
westernizing,westernizing,ウェスタナイジング
westernizes,westernizes,ウェスタナイジズ
westernized,westernized,ウェスタナイズドゥ
westernize,westernize,ウェスタナイズ
westernization,westernization,ウェスタナイゼイション
westernising,westernising,ウェスタナイジング
westernises,westernises,ウェスタナイジズ
westernise,westernise,ウェスタナイズ
westerner,westerner,ウェスタナー
western,western,ウェスタン
westerberg,westerberg,ウェスターバーグ
wester,wester,ウェスター
west,west,ウェストゥ
wesson,wesson,ウエソン
wesley,wesley,ウェズリー
werwolves,werwolves,ウイアーウルブズ
werwolf,werwolf,ウイアーウルフ
wertheim,wertheim,ウェルトゥハイム
wernicke,wernicke,ウェルニッケ
werner,werner,ワーナー
werewolves,werewolves,ウイアーウルブズ
werewolf,werewolf,ウイアーウルフ
were,were,ワー
wept,wept,ウェプトゥ
went,went,ウェントゥ
wennerstrum,wennerstrum,ウェナーストゥラム
wenli,wenli,ウェンリ
wendy,wendy,ウェンディー
wending,wending,ウェンディング
wender,wender,ウェンダー
wendell,wendell,ウエンデル
wended,wended,ウェンディドゥ
